NAME,STREET,POSTAL_CODE,LATITUDE,LONGITUDE,SUBZONE,PLANNING_AREA,REGION
Suntec City,temasek boulevard,38983,1.29486,103.860334,marina centre,downtown core,central region
Tanjong Pagar Centre,wallich street,78883,1.276584,103.845936,tanjong pagar,downtown core,central region
Tekka Centre,buffalo road,210664,1.306132,103.851113,farrer park,rochor,central region
Tiong Bahru Plaza,tiong bahru road,168732,1.286459,103.827015,tiong bahru station,bukit merah,central region
Thomson Plaza,marigold drive,576394,1.354325,103.830328,upper thomson,bishan,central region
Velocity @ Novena Square,thomson road,307683,1.320198,103.843881,moulmein,novena,central region
Wheelock Place,orchard road,238880,1.304676,103.830642,boulevard,orchard,central region
Wisma Atria,orchard road,238877,1.303705,103.833206,boulevard,orchard,central region
Bedok Mall,new upper changi road,467360,1.324736,103.929256,bedok north,bedok,east region
Century Square,tampines central 5,529509,1.352368,103.943812,tampines east,tampines,east region
Changi City Point,changi business park central 1,486038,1.334036,103.962918,xilin,tampines,east region
Downtown East,pasir ris close,519599,1.375951,103.955599,pasir ris park,pasir ris,east region
Eastpoint Mall,simei street 6,528833,1.342706,103.953025,simei,tampines,east region
Jewel Changi Airport,airport boulevard,819666,1.360341,103.989078,changi airport,changi,east region
Katong Shopping Centre,mountbatten road,437844,1.304097,103.901516,katong,marine parade,central region
Kallang Wave Mall,stadium place,397628,1.303075,103.87315,tanjong rhu,kallang,central region
Leisure Park Kallang,stadium walk,397693,1.302405,103.876638,tanjong rhu,kallang,central region
i12 Katong,east coast road,428802,1.305544,103.905277,katong,marine parade,central region
Our Tampines Hub,tampines walk,528523,1.353547,103.940381,tampines west,tampines,east region
Parkway Parade,marine parade road,449269,1.300917,103.905339,marine parade,marine parade,central region
Tampines 1,tampines street 21,520203,1.352228,103.952437,tampines east,tampines,east region
Tampines Mall,tampines central 5,529510,1.352527,103.944699,tampines east,tampines,east region
White Sands,pasir ris street 11,519075,1.365636,103.960862,pasir ris drive,pasir ris,east region
AMK Hub,ang mo kio avenue 3,569933,1.369389,103.848478,ang mo kio town centre,ang mo kio,north-east region
Canberra Plaza,canberra view,750133,1.443495,103.830345,sembawang east,sembawang,north region
Causeway Point,woodlands square,738099,1.436008,103.785689,woodlands regional centre,woodlands,north region
Northpoint City,yishun avenue 2,769100,1.427903,103.836178,yishun central,yishun,north region
Sembawang Shopping Centre,sembawang road,758459,1.441825,103.824845,sembawang springs,sembawang,north region
Sun Plaza,sembawang drive,757713,1.448195,103.819502,sembawang central,sembawang,north region
Compass One,sengkang square,545078,1.392053,103.895071,sengkang town centre,sengkang,north-east region
Heartland Mall,hougang street 21,530205,1.359542,103.885167,lorong ah soo,hougang,north-east region
Hougang Mall,hougang avenue 10,538766,1.372495,103.893776,hougang central,hougang,north-east region
NEX,serangoon central,556083,1.350769,103.872296,serangoon central,serangoon,north-east region
Oasis Terraces,punggol drive,820681,1.40278,103.913215,waterway east,punggol,north-east region
Punggol Plaza,punggol field,820168,1.394237,103.913047,punggol field,punggol,north-east region
The Seletar Mall,sengkang west avenue,797653,1.39147,103.876126,fernvale,sengkang,north-east region
Waterway Point,punggol central,828761,1.406536,103.901988,punggol town centre,punggol,north-east region
Junction 10,woodlands road,677899,1.380337,103.760168,teck whye,choa chu kang,west region
West Mall,bukit batok central link,658713,1.350097,103.749214,bukit batok central,bukit batok,west region
VivoCity,harbourfront walk,98585,1.264293,103.822305,maritime square,bukit merah,central region
HarbourFront Centre,maritime square,99253,1.26397,103.820243,maritime square,bukit merah,central region
Alexandra Retail Centre,alexandra road,119963,1.274149,103.801399,pasir panjang 2,queenstown,central region
The Clementi Mall,commonwealth avenue west,129588,1.314896,103.764423,clementi central,clementi,west region
Gek Poh Shopping Centre,jurong west street 75,640763,1.348744,103.698299,yunnan,jurong west,west region
IMM,jurong east street 21,609601,1.334875,103.746895,toh guan,jurong east,west region
JCube,north bridge road,188735,1.298141,103.855635,bugis,downtown core,central region
Jem,jurong gateway road,608549,1.333293,103.743279,jurong gateway,jurong east,west region
Jurong Point,jurong west central 2,648886,1.339452,103.706685,jurong west central,jurong west,west region
Pioneer Mall,jurong west street 61,640638,1.341692,103.697175,jurong west central,jurong west,west region
Queensway Shopping Centre,queensway,149053,1.287595,103.803397,queensway,queenstown,central region
The Rail Mall,upper bukit timah road,678066,1.359569,103.76761,nature reserve,bukit panjang,west region
The Star Vista,vista exchange green,138617,1.30697,103.78842,one north,queenstown,central region
West Coast Plaza,west coast road,127371,1.303625,103.765858,clementi woods,clementi,west region
Westgate,gateway drive,608532,1.334158,103.742766,jurong gateway,jurong east,west region
