NAME,STREET,POSTAL_CODE,LATITUDE,LONGITUDE,SUBZONE,PLANNING_AREA,REGION
CHIJ Our Lady of Good Counsel,burghley drive,558979,1.35743,103.864009,serangoon garden,serangoon,north-east region
CHIJ Our Lady of the Nativity,upper serangoon road,534793,1.373303,103.897576,hougang east,hougang,north-east region
CHIJ Our Lady Queen of Peace,chestnut drive,679287,1.366604,103.767412,dairy farm,bukit panjang,west region
CHIJ Primary (Toa Payoh),lorong 1 toa payoh,319765,1.332753,103.841847,toa payoh central,toa payoh,central region
CHIJ St. Nicholas Girls' School (Primary Section),ang mo kio street 13,569405,1.374183,103.834583,kebun bahru,ang mo kio,north-east region
Chongfu School,yishun avenue 6,768959,1.438396,103.839309,northland,yishun,north region
Chongzheng Primary School,tampines street 21,529392,1.350707,103.9514,tampines east,tampines,east region
Chua Chu Kang Primary School,choa chu kang avenue 2,689905,1.377759,103.741833,keat hong,choa chu kang,west region
Clementi Primary School,clementi avenue 3,129903,1.315063,103.763144,clementi central,clementi,west region
Compassvale Primary School,compassvale street,545091,1.394445,103.897812,sengkang town centre,sengkang,north-east region
Concord Primary School,choa chu kang avenue 4,689814,1.380008,103.736225,peng siang,choa chu kang,west region
Corporation Primary School,jurong west street 24,648347,1.350998,103.707594,wenya,jurong west,west region
Damai Primary School,bedok reservoir crescent,479226,1.335461,103.92127,bedok reservoir,bedok,east region
Dazhong Primary School,bukit batok street 31,659441,1.35918,103.748472,hong kah north,bukit batok,west region
De La Salle School,choa chu kang street 52,689285,1.394708,103.743202,choa chu kang north,choa chu kang,west region
East Spring Primary School,tampines street 33,529258,1.352684,103.961677,tampines east,tampines,east region
East View Primary School,tampines ave 4,76261,1.347823,103.938614,tampines west,tampines,east region
Edgefield Primary School,edgefield plains,828869,1.400091,103.907848,punggol field,punggol,north-east region
Elias Park Primary School,pasir ris street 52,518866,1.375057,103.945289,pasir ris central,pasir ris,east region
Endeavour Primary School,admiralty link,757521,1.454038,103.817436,sembawang north,sembawang,north region
Evergreen Primary School,woodlands circle,738908,1.444153,103.794578,woodlands east,woodlands,north region
Fairfield Methodist School (Primary),dover road,139648,1.301004,103.785456,dover,queenstown,central region
Farrer Park Primary School,farrer park road,217567,1.312369,103.850766,kampong java,kallang,central region
Fengshan Primary School,bedok north road,469680,1.329806,103.93171,bedok north,bedok,east region
Fernvale Primary School,fernvale lane,797701,1.390302,103.874445,fernvale,sengkang,north-east region
First Toa Payoh Primary School,lorong 8 toa payoh,319252,1.340323,103.85553,lorong 8 toa payoh,toa payoh,central region
Frontier Primary School,jurong west street 61,648200,1.336413,103.699702,jurong west central,jurong west,west region
Fuchun Primary School,woodlands avenue 1,739063,1.43048,103.778193,woodgrove,woodlands,north region
Fuhua Primary School,jurong east street 13,609647,1.336597,103.736089,yuhua east,jurong east,west region
Gan Eng Seng Primary School,redhill close,158901,1.285595,103.815547,redhill,bukit merah,central region
Geylang Methodist School (Primary),geylang east central,389706,1.317591,103.883846,aljunied,geylang,central region
Gongshang Primary School,tampines street 42,529176,1.357116,103.949145,tampines east,tampines,east region
Greendale Primary School,edgedale plains,828848,1.396482,103.912335,punggol field,punggol,north-east region
Greenridge Primary School,jelapang road,677744,1.385889,103.767794,saujana,bukit panjang,west region
Greenwood Primary School,woodlands drive 62,737942,1.4399,103.804726,woodlands east,woodlands,north region
Haig Girls' School,koon seng road,427072,1.311943,103.902903,geylang east,geylang,central region
Henry Park Primary School,holland grove road,278790,1.316676,103.784296,ulu pandan,bukit timah,central region
Holy Innocents' Primary School,lorong low koon,536451,1.366938,103.894115,kangkar,hougang,north-east region
Hong Wen School,towner road,327829,1.32176,103.857628,bendemeer,kallang,central region
Horizon Primary School,edgedale plains,828819,1.39955,103.913405,waterway east,punggol,north-east region
Hougang Primary School,hougang street 93,534238,1.377382,103.880805,trafalgar,hougang,north-east region
Huamin Primary School,yishun avenue 11,768857,1.426973,103.84424,yishun east,yishun,north region
Innova Primary School,woodlands drive 17,737888,1.428967,103.790608,woodlands south,woodlands,north region
Jiemin Primary School,yishun street 71,768515,1.427688,103.830425,yishun west,yishun,north region
Jing Shan Primary School ,ang mo kio street 52,569228,1.372233,103.852132,cheng san,ang mo kio,north-east region
Junyuan Primary School,tampines street 91,528906,1.347871,103.939222,tampines west,tampines,east region
Jurong Primary School,jurong east street 32,609476,1.348439,103.733157,yuhua west,jurong east,west region
Jurong West Primary School,jurong west street 61,648368,1.339175,103.698804,jurong west central,jurong west,west region
Keming Primary School,bukit batok east avenue 6,659762,1.345528,103.756449,bukit batok central,bukit batok,west region
Kheng Cheng School,lorong 3 toa payoh,319580,1.337338,103.847149,braddell,toa payoh,central region
Kong Hwa School,guillemard road,399772,1.310997,103.888352,aljunied,geylang,central region
Kranji Primary School,choa chu kang street 54,689189,1.393561,103.747363,choa chu kang north,choa chu kang,west region
Kuo Chuan Presbyterian Primary School,bishan street 13,579793,1.349398,103.855018,bishan east,bishan,central region
Lakeside Primary School,corporation walk,618310,1.338204,103.71809,taman jurong,jurong west,west region
Lianhua Primary School,bukit batok street 52,659243,1.354242,103.754166,guilin,bukit batok,west region
Maha Bodhi School,ubi avenue 1,408931,1.32858,103.901307,kampong ubi,geylang,central region
Maris Stella High School (Primary Section),bartley road,539786,1.342823,103.879265,bidadari,toa payoh,central region
Marsiling Primary School,woodlands centre road,738927,1.433839,103.773643,woodlands west,woodlands,north region
Marymount Convent School,marymount road,297754,1.340367,103.840021,toa payoh west,toa payoh,central region
Mayflower Primary School,ang mo kio avenue 5,569878,1.376377,103.843253,kebun bahru,ang mo kio,north-east region
Mee Toh School,edgedale plains,828867,1.394618,103.908589,punggol field,punggol,north-east region
Meridian Primary School,pasir ris street 71,518798,1.375528,103.934889,pasir ris west,pasir ris,east region
Methodist Girls' School (Primary),lorong ah soo,536741,1.349473,103.884971,tai seng,hougang,north-east region
Montfort Junior School,hougang avenue 8,538786,1.373824,103.889308,hougang west,hougang,north-east region
Nan Chiau Primary School,anchorvale link,545080,1.392211,103.891181,anchorvale,sengkang,north-east region
Nan Hua Primary School,jalan lempeng,128806,1.319202,103.761095,faber,clementi,west region
Nanyang Primary School,coronation road,269460,1.321115,103.806468,farrer court,bukit timah,central region
Naval Base Primary School,yishun avenue 4,769028,1.416307,103.838794,yishun south,yishun,north region
New Town Primary School,tanglin halt road,148812,1.299642,103.800102,tanglin halt,queenstown,central region
Ngee Ann Primary School,marine terrace,449149,1.305525,103.917463,marine parade,marine parade,central region
Northshore Primary School,northshore drive,828671,1.418138,103.904417,northshore,punggol,north-east region
North Spring Primary School,rivervale street,545088,1.387061,103.903203,rivervale,sengkang,north-east region
North View Primary School,yishun avenue 6,768960,1.427523,103.848191,yishun east,yishun,north region
North Vista Primary School,compassvale link,544974,1.382822,103.895962,compassvale,sengkang,north-east region
Northland Primary School,yishun avenue 4,769026,1.42097,103.840928,yishun south,yishun,north region
Northoaks Primary School,sembawang drive,757622,1.456608,103.814197,sembawang north,sembawang,north region
Oasis Primary School,edgefield plains,828716,1.404624,103.911121,waterway east,punggol,north-east region
Opera Estate Primary School,fidelio street,458436,1.319319,103.923788,frankel,bedok,east region
Palm View Primary School,compassvale bow,544822,1.383769,103.891355,compassvale,sengkang,north-east region
Park View Primary School,pasir ris drive 1,519524,1.377381,103.939542,pasir ris west,pasir ris,east region
Pasir Ris Primary School,pasir ris street 21,518968,1.372419,103.962807,pasir ris drive,pasir ris,east region
Paya Lebar Methodist Girls' School (Primary),lorong ah soo,536741,1.349473,103.884971,tai seng,hougang,north-east region
Pei Chun Public School,lorong 7 toa payoh,319320,1.337374,103.855586,pei chun,toa payoh,central region
Pei Hwa Presbyterian Primary School,pei wah avenue,597610,1.338056,103.776106,anak bukit,bukit timah,central region
Pei Tong Primary School,clementi avenue 5,129857,1.316198,103.7676,clementi north,clementi,west region
Peiying Primary School,yishun ring road,768687,1.417416,103.830143,khatib,yishun,north region
Pioneer Primary School,jurong west street 91,649037,1.339023,103.68777,yunnan,jurong west,west region
Poi Ching School,tampines street 71,529067,1.357651,103.935246,tampines west,tampines,east region
Princess Elizabeth Primary School,bukit batok west avenue 3,659163,1.349204,103.74102,bukit batok west,bukit batok,west region
Punggol Cove Primary School,sumang walk,828674,1.411599,103.898804,punggol town centre,punggol,north-east region
Punggol Green Primary School,punggol walk,828772,1.401872,103.898801,matilda,punggol,north-east region
Punggol Primary School,hougang avenue 8,538787,1.378201,103.894667,hougang east,hougang,north-east region
Punggol View Primary School,punggol place,828845,1.405146,103.905156,punggol town centre,punggol,north-east region
Qifa Primary School,west coast avenue,128104,1.313266,103.756629,west coast,clementi,west region
Qihua Primary School,woodlands street 81,738525,1.442036,103.78834,midview,woodlands,north region
Queenstown Primary School,margaret drive,149303,1.295594,103.807549,margaret drive,queenstown,central region
Radin Mas Primary School,bukit purmei avenue,99840,1.274958,103.824188,telok blangah rise,bukit merah,central region
Raffles Girls' Primary School,hillcrest road,289072,1.329404,103.806443,hillcrest,bukit timah,central region
Red Swastika School,bedok north avenue 3,469719,1.334057,103.934318,bedok north,bedok,east region
River Valley Primary School,river valley green,237993,1.294183,103.836019,institution hill,river valley,central region
Riverside Primary School,woodlands crescent,737803,1.447004,103.801889,woodlands east,woodlands,north region
Rivervale Primary School,rivervale drive,545092,1.39341,103.90456,rivervale,sengkang,north-east region
Rosyth School,serangoon north avenue 4,555855,1.372891,103.875002,serangoon north,serangoon,north-east region
Rulang Primary School,jurong west street 52,649295,1.346739,103.718458,hong kah,jurong west,west region
Sembawang Primary School,sembawang drive,757715,1.445074,103.821042,sembawang central,sembawang,north region
Sengkang Green Primary School,fernvale road,797636,1.392846,103.875218,fernvale,sengkang,north-east region
Si Ling Primary School,woodlands avenue 1,739067,1.432409,103.786035,woodgrove,woodlands,north region
Seng Kang Primary School,compassvale walk,545166,1.389497,103.899767,sengkang town centre,sengkang,north-east region
Shuqun Primary School,jurong west street 51,649332,1.347653,103.721524,hong kah,jurong west,west region
Singapore Chinese Girls’ School (Primary),dunearn road,309437,1.320807,103.827745,malcolm,novena,central region
South View Primary School,choa chu kang central,689762,1.381667,103.746276,choa chu kang central,choa chu kang,west region
Springdale Primary School,anchorvale link,544799,1.39467,103.889926,anchorvale,sengkang,north-east region
St. Andrew's Junior School,francis thomas drive,359337,1.331403,103.865117,potong pasir,toa payoh,central region
St. Anthony's Canossian Primary School,bedok north avenue 4,469701,1.334725,103.941235,bedok north,bedok,east region
St. Anthony's Primary School,bedok north avenue 4,469701,1.334725,103.941235,bedok north,bedok,east region
St. Gabriel's Primary School,lorong chuan,556742,1.349472,103.862561,lorong chuan,serangoon,north-east region
St. Hilda's Primary School,tampines avenue 3,529706,1.349386,103.937007,tampines west,tampines,east region
St. Joseph's Institution Junior,essex road,309331,1.317815,103.845633,moulmein,novena,central region
St. Margaret's Primary School,mattar road,387724,1.324392,103.881625,macpherson,geylang,central region
St. Stephen's School,siglap view,455789,1.31879,103.917258,frankel,bedok,east region
Tampines North Primary School,tampines avenue 9,529565,1.360476,103.948726,tampines east,tampines,east region
Tampines Primary School,tampines street 12,529426,1.350486,103.943573,tampines east,tampines,east region
Tanjong Katong Primary School,seraya road,437259,1.304985,103.9,katong,marine parade,central region
Tao Nan School,armenian street,179941,1.294332,103.849026,bras basah,museum,central region
Teck Ghee Primary School,ang mo kio street 32,569299,1.365588,103.850957,townsville,ang mo kio,north-east region
Teck Whye Primary School,teck whye walk,688261,1.38365,103.753292,teck whye,choa chu kang,west region
Telok Kurau Primary School,bedok reservoir road,479239,1.331046,103.910934,kaki bukit,bedok,east region
Temasek Primary School,bedok south avenue 3,469300,1.317707,103.945591,bedok south,bedok,east region
Townsville Primary School,ang mo kio avenue 10,569730,1.360033,103.853826,chong boon,ang mo kio,north-east region
Unity Primary School,choa chu kang crescent,688268,1.402855,103.746823,yew tee,choa chu kang,west region
Valour Primary School,punggol central,828728,1.406836,103.899078,punggol town centre,punggol,north-east region
Waterway Primary School,punggol drive,828802,1.398828,103.918622,waterway east,punggol,north-east region
Wellington Primary School,wellington circle,757702,1.45192,103.822304,admiralty,sembawang,north region
West Grove Primary School,jurong west street 72,649223,1.344879,103.699286,yunnan,jurong west,west region
West Spring Primary School,bukit panjang ring road,679946,1.389441,103.766196,saujana,bukit panjang,west region
West View Primary School,senja road,677742,1.383676,103.76024,senja,bukit panjang,west region
Westwood Primary School,jurong west street 73,649188,1.347185,103.700534,yunnan,jurong west,west region
White Sands Primary School,pasir ris street 11,519075,1.365557,103.960919,pasir ris drive,pasir ris,east region
Woodgrove Primary School,woodlands drive 14,738079,1.432736,103.79023,woodlands south,woodlands,north region
Woodlands Primary School,woodlands drive 50,738853,1.436583,103.791791,midview,woodlands,north region
Woodlands Ring Primary School,woodlands ring road,738240,1.434952,103.797436,woodlands east,woodlands,north region
Xinghua Primary School,hougang avenue 1,538882,1.357909,103.890473,lorong ah soo,hougang,north-east region
Xingnan Primary School,jurong west street 91,649036,1.342547,103.68795,yunnan,jurong west,west region
Xinmin Primary School,hougang avenue 8,538784,1.371395,103.883081,hougang west,hougang,north-east region
Xishan Primary School,yishun street 21,768611,1.433472,103.837755,northland,yishun,north region
Yangzheng Primary School,serangoon avenue 3,556108,1.348646,103.868596,serangoon central,serangoon,north-east region
Yew Tee Primary School,choa chu kang street 64,689100,1.396766,103.750986,yew tee,choa chu kang,west region
Yio Chu Kang Primary School,hougang street 51,538720,1.377933,103.885644,trafalgar,hougang,north-east region
Yishun Primary School,yishun ring road,768679,1.433386,103.834087,yishun west,yishun,north region
Yu Neng Primary School,bedok north street 3,469623,1.333889,103.932145,bedok north,bedok,east region
Yuhua Primary School,jurong east street 24,609558,1.342802,103.741106,yuhua east,jurong east,west region
Yumin Primary School,tampines street 21,529393,1.351292,103.950462,tampines east,tampines,east region
Zhangde Primary School,jalan membina,169485,1.284212,103.825952,tiong bahru station,bukit merah,central region
Zhenghua Primary School,fajar road,679002,1.379549,103.769314,fajar,bukit panjang,west region
Zhonghua Primary School,serangoon avenue 4,556095,1.360203,103.869762,serangoon garden,serangoon,north-east region
