CODE,NAME,STATUS,LATITUDE,LONGITUDE,SUBZONE,PLANNING_AREA,REGION
JS6,Jurong West MRT station,planned,1.349167,103.708333,boon lay place,jurong west,west region
DT28,Kaki Bukit MRT station,open,1.335,103.908889,kaki bukit,bedok,east region
EW10,Kallang MRT station,open,1.311469,103.8714,boon keng,kallang,central region
TE24,Katong Park MRT station,open,1.297778,103.885278,tanjong rhu,kallang,central region
EW6,Kembangan MRT station,open,1.320983,103.912842,kembangan,bedok,east region
CC24,Kent Ridge MRT station,open,1.293333,103.784444,national university of s'pore,queenstown,central region
JE,Kent Ridge MRT station,planned,1.293333,103.784444,national university of s'pore,queenstown,central region
CC30,Keppel MRT station,planned,1.27,103.831111,city terminals,bukit merah,central region
NS14,Khatib MRT station,open,1.417167,103.8329,khatib,yishun,north region
DT6,King Albert Park MRT station,open,1.335833,103.783611,holland road,bukit timah,central region
CR15,King Albert Park MRT station,planned,1.335833,103.783611,holland road,bukit timah,central region
NE13,Kovan MRT station,open,1.360278,103.885,kovan,hougang,north-east region
NS7,Kranji MRT station,open,1.425047,103.761853,turf club,sungei kadut,north region
CC27,Labrador Park MRT station,open,1.272222,103.802778,maritime square,bukit merah,central region
EW26,Lakeside MRT station,open,1.344589,103.721139,taman jurong,jurong west,west region
EW11,Lavender MRT station,open,1.307167,103.863008,lavender,kallang,central region
TE5,Lentor MRT station,open,1.384722,103.836667,tagore,ang mo kio,north-east region
NE7,Little India MRT station,open,1.306667,103.849722,farrer park,rochor,central region
DT12,Little India MRT station,open,1.306667,103.849722,farrer park,rochor,central region
CC14,Lorong Chuan MRT station,open,1.351667,103.864167,lorong chuan,serangoon,north-east region
CR3,Loyang MRT station,planned,1.371944,103.971944,loyang west,pasir ris,east region
CC10,MacPherson MRT station,open,1.326667,103.89,macpherson,geylang,central region
DT26,MacPherson MRT station,open,1.326667,103.89,macpherson,geylang,central region
CR16,Maju MRT station,planned,1.328333,103.776944,holland road,bukit timah,central region
NS27,Marina Bay MRT station,open,1.275278,103.854722,central subzone,downtown core,central region
CE2,Marina Bay MRT station,open,1.275278,103.854722,central subzone,downtown core,central region
TE20,Marina Bay MRT station,open,1.275278,103.854722,central subzone,downtown core,central region
TE21,Marina South MRT station,planned,1.273889,103.863056,straits view,straits view,central region
NS28,Marina South Pier MRT station,open,1.270944,103.86325,straits view,straits view,central region
TE26,Marine Parade MRT station,open,1.3025,103.905,marine parade,marine parade,central region
TE27,Marine Terrace MRT station,open,1.306667,103.915,marine parade,marine parade,central region
NS8,Marsiling MRT station,open,1.432636,103.774283,woodlands west,woodlands,north region
CC16,Marymount MRT station,open,1.349167,103.839444,upper thomson,bishan,central region
DT25,Mattar MRT station,open,1.327222,103.882778,macpherson,geylang,central region
TE18,Maxwell MRT station,open,1.280278,103.843889,chinatown,outram,central region
TE6,Mayflower MRT station,open,1.3725,103.837222,kebun bahru,ang mo kio,north-east region
TE10,Mount Pleasant MRT station,planned,1.328611,103.835556,mount pleasant,novena,central region
CC7,Mountbatten MRT station,open,1.306389,103.8825,aljunied,geylang,central region
JW4,Nanyang Crescent MRT station,planned,1.348333,103.680833,murai,western water catchment,west region
JW3,Nanyang Gateway MRT station,planned,1.353611,103.686667,murai,western water catchment,west region
TE12,Napier MRT station,open,1.3060989,103.819661,ridout,tanglin,central region
NS21,Newton MRT station,open,1.313056,103.838333,newton circus,newton,central region
DT11,Newton MRT station,open,1.313056,103.838333,newton circus,newton,central region
CC5,Nicoll Highway MRT station,open,1.299722,103.863611,nicoll,downtown core,central region
NS20,Novena MRT station,open,1.320394,103.843689,moulmein,novena,central region
CC23,One-north MRT station,open,1.299444,103.786944,one north,queenstown,central region
TE13,Orchard Boulevard MRT station,open,1.3025,103.823889,one tree hill,river valley,central region
NS22,Orchard MRT station,open,1.303056,103.831389,paterson,river valley,central region
TE14,Orchard MRT station,open,1.303056,103.831389,paterson,river valley,central region
EW16,Outram Park MRT station,open,1.280556,103.84,people's park,outram,central region
NE3,Outram Park MRT station,open,1.280556,103.84,people's park,outram,central region
TE17,Outram Park MRT station,open,1.280556,103.84,people's park,outram,central region
JE7,Pandan Reservoir MRT station,planned,1.32,103.745,teban gardens,jurong east,west region
CC26,Pasir Panjang MRT station,open,1.276111,103.791389,port,queenstown,central region
CR4,Pasir Ris East MRT station,planned,1.366111,103.961111,pasir ris drive,pasir ris,east region
EW1,Pasir Ris MRT station,open,1.372411,103.949369,pasir ris central,pasir ris,east region
CR5,Pasir Ris MRT station,planned,1.372411,103.949369,pasir ris central,pasir ris,east region
CP1,Pasir Ris MRT station,planned,1.372411,103.949369,pasir ris central,pasir ris,east region
EW8,Paya Lebar MRT station,open,1.317778,103.8925,geylang east,geylang,central region
CC9,Paya Lebar MRT station,open,1.317778,103.8925,geylang east,geylang,central region
JW5,Peng Kang Hill MRT station,planned,1.343333,103.678611,murai,western water catchment,west region
EW28,Pioneer MRT station,open,1.337578,103.697217,jurong west central,jurong west,west region
NE10,Potong Pasir MRT station,open,1.331111,103.869167,sennett,toa payoh,central region
CC32,Prince Edward Road MRT station,planned,1.273333,103.847222,central subzone,downtown core,central region
CC4,Promenade MRT station,open,1.2925,103.860833,marina centre,downtown core,central region
DT15,Promenade MRT station,open,1.2925,103.860833,marina centre,downtown core,central region
NE18,Punggol Coast MRT station,open,1.415278,103.911111,northshore,punggol,north-east region
NE17,Punggol MRT/LRT station,open,1.405278,103.9025,punggol town centre,punggol,north-east region
CP4,Punggol MRT/LRT station,open,1.405278,103.9025,punggol town centre,punggol,north-east region
PTC,Punggol MRT/LRT station,open,1.405278,103.9025,punggol town centre,punggol,north-east region
EW19,Queenstown MRT station,open,1.294442,103.806114,mei chin,queenstown,central region
NS26,Raffles Place MRT station,open,1.283889,103.851389,raffles place,downtown core,central region
EW14,Raffles Place MRT station,open,1.283889,103.851389,raffles place,downtown core,central region
EW18,Redhill MRT station,open,1.289722,103.816667,redhill,bukit merah,central region
CP3,Riviera MRT/LRT station,planned,1.394439,103.916772,punggol field,punggol,north-east region
PE4,Riviera MRT/LRT station,open,1.394439,103.916772,punggol field,punggol,north-east region
DT13,Rochor MRT station,open,1.303764,103.852581,bencoolen,rochor,central region
NS11,Sembawang MRT station,open,1.449025,103.820153,sembawang central,sembawang,north region
NE16,Sengkang MRT/LRT station,open,1.391667,103.895,sengkang town centre,sengkang,north-east region
STC,Sengkang MRT/LRT station,open,1.391667,103.895,sengkang town centre,sengkang,north-east region
NE12,Serangoon MRT station,open,1.349167,103.873611,upper paya lebar,serangoon,north-east region
CC13,Serangoon MRT station,open,1.349167,103.873611,upper paya lebar,serangoon,north-east region
CR9,Serangoon North MRT station,planned,1.370556,103.873611,serangoon garden,serangoon,north-east region
TE19,Shenton Way MRT station,open,1.2775,103.850833,central subzone,downtown core,central region
TE28,Siglap MRT station,open,1.309722,103.928889,frankel,bedok,east region
EW3,Simei MRT station,open,1.343444,103.953172,simei,tampines,east region
DT7,Sixth Avenue MRT station,open,1.330833,103.7975,coronation road,bukit timah,central region
NS23,Somerset MRT station,open,1.300514,103.839028,somerset,orchard,central region
TE4,Springleaf MRT station,open,1.397778,103.818333,springleaf,yishun,north region
CC6,Stadium MRT station,open,1.302778,103.875278,tanjong rhu,kallang,central region
DT10,Stevens MRT station,open,1.32,103.826111,nassim,tanglin,central region
TE11,Stevens MRT station,open,1.32,103.826111,nassim,tanglin,central region
DT37,Sungei Bedok MRT station,planned,1.320278,103.957222,bayshore,bedok,east region
TE31,Sungei Bedok MRT station,planned,1.320278,103.957222,bayshore,bedok,east region
NS6,Sungei Kadut MRT station,planned,1.413333,103.748889,pang sua,sungei kadut,north region
DE2,Sungei Kadut MRT station,planned,1.413333,103.748889,pang sua,sungei kadut,north region
CC11,Tai Seng MRT station,open,1.335833,103.888056,tai seng,hougang,north-east region
DT33,Tampines East MRT station,open,1.356389,103.954722,tampines east,tampines,east region
EW2,Tampines MRT station,open,1.355,103.943889,tampines east,tampines,east region
DT32,Tampines MRT station,open,1.355,103.943889,tampines east,tampines,east region
CR6,Tampines North MRT station,planned,1.369167,103.937778,tampines north,tampines,east region
DT31,Tampines West MRT station,open,1.345556,103.938333,tampines west,tampines,east region
DT8,Tan Kah Kee MRT station,open,1.326111,103.807222,coronation road,bukit timah,central region
EW4,Tanah Merah MRT station,open,1.327358,103.946344,bedok north,bedok,east region
CG,Tanah Merah MRT station,open,1.327358,103.946344,bedok north,bedok,east region
TE25,Tanjong Katong MRT station,open,1.299167,103.897778,marine parade,marine parade,central region
EW15,Tanjong Pagar MRT station,open,1.276439,103.845711,tanjong pagar,downtown core,central region
TE23,Tanjong Rhu MRT station,open,1.297222,103.873333,tanjong rhu,kallang,central region
CR10,Tavistock MRT station,planned,1.37,103.863333,serangoon garden,serangoon,north-east region
JW2,Tawas MRT station,planned,1.350556,103.691944,cleantech,western water catchment,west region
CR12,Teck Ghee MRT station,planned,1.365556,103.843611,townsville,ang mo kio,north-east region
DT18,Telok Ayer MRT station,open,1.282222,103.848333,chinatown,outram,central region
CC28,Telok Blangah MRT station,open,1.270556,103.809722,maritime square,bukit merah,central region
JS3,Tengah MRT station,planned,1.366389,103.73,park,tengah,west region
JE2,Tengah Park MRT station,planned,1.352222,103.736667,plantation,tengah,west region
JE1,Tengah Plantation MRT station,planned,1.357222,103.733333,plantation,tengah,west region
EW17,Tiong Bahru MRT station,open,1.286081,103.826958,tiong bahru station,bukit merah,central region
NS19,Toa Payoh MRT station,open,1.332778,103.8475,toa payoh central,toa payoh,central region
JE4,Toh Guan MRT station,planned,1.339722,103.7425,toh guan,jurong east,west region
EW31,Tuas Crescent MRT station,open,1.321139,103.649,tuas north,tuas,west region
EW33,Tuas Link MRT station,open,1.340278,103.636806,tuas promenade,tuas,west region
EW32,Tuas West Road MRT station,open,1.330056,103.639611,tuas north,tuas,west region
JS10,Tukang MRT station,planned,1.325278,103.709167,tukang,boon lay,west region
CR14,Turf City MRT station,planned,1.340833,103.794444,swiss club,bukit timah,central region
DT27,Ubi MRT station,open,1.33,103.9,kampong ubi,geylang,central region
DT34,Upper Changi MRT station,open,1.341944,103.961389,simei,tampines,east region
TE8,Upper Thomson MRT station,open,1.354167,103.833333,upper thomson,bishan,central region
JE,West Coast MRT station,planned,1.310833,103.757778,clementi west,clementi,west region
CR18,West Coast MRT station,planned,1.310833,103.757778,clementi west,clementi,west region
NS9,Woodlands MRT station,open,1.437094,103.786483,woodlands regional centre,woodlands,north region
TE2,Woodlands MRT station,open,1.437094,103.786483,woodlands regional centre,woodlands,north region
TE1,Woodlands North MRT station,open,1.448333,103.785,greenwood park,woodlands,north region
RTS,Woodlands North MRT station,planned,1.448333,103.785,greenwood park,woodlands,north region
TE3,Woodlands South MRT station,open,1.427222,103.793889,woodlands south,woodlands,north region
NE11,Woodleigh MRT station,open,1.339167,103.870833,bidadari,toa payoh,central region
DT36,Xilin MRT station,planned,1.328889,103.965,xilin,tampines,east region
NS5,Yew Tee MRT station,open,1.396986,103.747239,yew tee,choa chu kang,west region
NS15,Yio Chu Kang MRT station,open,1.381906,103.844817,yio chu kang,ang mo kio,north-east region
NS13,Yishun MRT station,open,1.429464,103.835239,yishun west,yishun,north region
