TOWN,BLOCK,ADDRESS,POSTAL_CODE,LATITUDE,LONGITUDE,MAX_FLOOR,SUBZONE,PLANNING_AREA,REGION
woodlands,873,woodlands street 81,730873,1.443295,103.789747,12,midview,woodlands,north region
tampines,230G,tampines street 21,521230,1.356167,103.9503,12,tampines east,tampines,east region
jurong west,721,jurong west avenue 5,640721,1.343993,103.697596,12,yunnan,jurong west,west region
queenstown,52,commonwealth drive,142052,1.301903,103.797243,20,tanglin halt,queenstown,central region
punggol,308A,punggol walk,821308,1.407761,103.900999,18,punggol town centre,punggol,north-east region
bukit panjang,233,pending road,670233,1.376526,103.77168,13,bangkit,bukit panjang,west region
hougang,127,hougang avenue 1,530127,1.352917,103.88568,4,lorong ah soo,hougang,north-east region
ang mo kio,301,ang mo kio avenue 3,560301,1.367421,103.845904,12,townsville,ang mo kio,north-east region
ang mo kio,608,ang mo kio avenue 5,560608,1.378582,103.83676,12,yio chu kang west,ang mo kio,north-east region
choa chu kang,273,choa chu kang avenue 2,680273,1.37925,103.743073,14,keat hong,choa chu kang,west region
bukit merah,16,telok blangah crescent,090016,1.278054,103.821505,14,telok blangah way,bukit merah,central region
sengkang,473A,fernvale street,791473,1.39786,103.881233,26,fernvale,sengkang,north-east region
yishun,398,yishun ring road,760398,1.427676,103.846523,12,yishun east,yishun,north region
yishun,391,yishun avenue 6,760391,1.429468,103.849171,11,yishun east,yishun,north region
tampines,495C,tampines street 43,522495,1.363239,103.951625,13,tampines east,tampines,east region
hougang,643,hougang avenue 8,530643,1.371546,103.88062,17,hougang west,hougang,north-east region
bukit batok,245,bukit batok east avenue 5,650245,1.349648,103.757333,4,bukit batok east,bukit batok,west region
punggol,662B,edgedale plains,822662,1.401722,103.918691,19,waterway east,punggol,north-east region
ang mo kio,450,ang mo kio avenue 10,560450,1.368484,103.855468,4,chong boon,ang mo kio,north-east region
yishun,628,yishun street 61,760628,1.418078,103.836957,12,yishun south,yishun,north region
sengkang,411A,fernvale road,791411,1.390548,103.876909,25,fernvale,sengkang,north-east region
bedok,533,bedok north street 3,460533,1.33358,103.924219,13,bedok north,bedok,east region
punggol,271B,punggol walk,822271,1.404171,103.900581,16,matilda,punggol,north-east region
yishun,509C,yishun avenue 4,763509,1.414303,103.840417,13,lower seletar,yishun,north region
bukit panjang,119,pending road,670119,1.376538,103.769042,4,jelebu,bukit panjang,west region
yishun,672C,yishun avenue 4,763672,1.418361,103.842651,13,yishun south,yishun,north region
sengkang,304A,anchorvale link,541304,1.387892,103.888922,16,anchorvale,sengkang,north-east region
tampines,168B,simei lane,522168,1.342612,103.958768,12,simei,tampines,east region
central area,34,upper cross street,050034,1.286235,103.842303,20,pearl's hill,outram,central region
queenstown,21,ghim moh road,270021,1.310103,103.788546,10,ghim moh,queenstown,central region
choa chu kang,433,choa chu kang avenue 4,680433,1.384931,103.741772,12,peng siang,choa chu kang,west region
choa chu kang,134,teck whye lane,680134,1.380266,103.750957,15,teck whye,choa chu kang,west region
sengkang,257A,compassvale road,541257,1.392386,103.897648,15,sengkang town centre,sengkang,north-east region
kallang/whampoa,15,upper boon keng road,380015,1.315873,103.871296,16,boon keng,kallang,central region
jurong west,610,jurong west street 65,640610,1.338325,103.700856,15,jurong west central,jurong west,west region
bukit panjang,482,segar road,670482,1.389161,103.772292,16,fajar,bukit panjang,west region
toa payoh,99B,lorong 2 toa payoh,311099,1.338745,103.847253,13,braddell,toa payoh,central region
pasir ris,636,pasir ris drive 1,510636,1.37679,103.940742,13,pasir ris west,pasir ris,east region
woodlands,517,woodlands drive 14,730517,1.43383,103.79168,12,woodlands south,woodlands,north region
sengkang,188B,rivervale drive,542188,1.394541,103.905459,17,rivervale,sengkang,north-east region
hougang,410,hougang avenue 10,530410,1.373886,103.894682,4,hougang east,hougang,north-east region
kallang/whampoa,681,race course road,210681,1.313721,103.855273,12,lavender,kallang,central region
bedok,159,bedok south avenue 3,460159,1.319046,103.945624,13,bedok south,bedok,east region
queenstown,92,commonwealth drive,140092,1.305732,103.800254,10,commonwealth,queenstown,central region
sengkang,272A,sengkang central,541272,1.385262,103.893959,15,compassvale,sengkang,north-east region
jurong west,259,boon lay drive,640259,1.345514,103.708636,15,boon lay place,jurong west,west region
tampines,364,tampines street 34,520364,1.356938,103.959873,10,tampines east,tampines,east region
hougang,441,hougang avenue 8,530441,1.378453,103.89394,4,hougang east,hougang,north-east region
choa chu kang,296E,choa chu kang avenue 2,685296,1.376917,103.743047,15,keat hong,choa chu kang,west region
bishan,292,bishan street 22,570292,1.356017,103.845668,24,marymount,bishan,central region
woodlands,612,woodlands avenue 4,730612,1.435082,103.796733,12,woodlands east,woodlands,north region
jurong west,446,jurong west street 42,640446,1.352216,103.719556,4,hong kah,jurong west,west region
bukit panjang,543,jelapang road,670543,1.382495,103.764046,19,saujana,bukit panjang,west region
yishun,605,yishun street 61,760605,1.421726,103.836336,13,yishun south,yishun,north region
central area,672B,klang lane,212672,1.309037,103.852848,19,farrer park,rochor,central region
yishun,630,yishun street 61,760630,1.418019,103.837784,12,yishun south,yishun,north region
central area,637,veerasamy road,200637,1.307028,103.855528,13,little india,rochor,central region
choa chu kang,5,teck whye avenue,680005,1.382114,103.753565,13,teck whye,choa chu kang,west region
jurong west,519,jurong west street 52,640519,1.345538,103.717583,4,hong kah,jurong west,west region
choa chu kang,484A,choa chu kang avenue 5,681484,1.376685,103.736818,16,peng siang,choa chu kang,west region
sembawang,503C,canberra link,753503,1.450538,103.822941,13,admiralty,sembawang,north region
jurong west,508,jurong west street 52,640508,1.348727,103.718715,4,hong kah,jurong west,west region
woodlands,129,marsiling rise,730129,1.437811,103.778702,10,woodlands west,woodlands,north region
tampines,413,tampines street 41,520413,1.359459,103.945575,4,tampines east,tampines,east region
woodlands,519,woodlands drive 14,730519,1.434589,103.791963,12,woodlands south,woodlands,north region
jurong west,664C,jurong west street 64,643664,1.338211,103.703156,16,jurong west central,jurong west,west region
serangoon,231,serangoon avenue 3,550231,1.355018,103.868368,12,serangoon central,serangoon,north-east region
jurong west,667C,jurong west street 65,643667,1.341148,103.702296,16,jurong west central,jurong west,west region
yishun,763,yishun street 72,760763,1.425362,103.834546,4,yishun west,yishun,north region
sembawang,316,sembawang vista,750316,1.446343,103.820817,16,sembawang central,sembawang,north region
sengkang,311C,anchorvale lane,543311,1.391571,103.884436,18,anchorvale,sengkang,north-east region
tampines,803,tampines avenue 4,520803,1.345198,103.937689,9,tampines west,tampines,east region
kallang/whampoa,108,mcnair road,321108,1.321619,103.859383,15,bendemeer,kallang,central region
bukit merah,120,bukit merah view,152120,1.282774,103.822612,16,henderson hill,bukit merah,central region
punggol,314A,punggol way,821314,1.408262,103.898018,18,punggol town centre,punggol,north-east region
pasir ris,219,pasir ris street 21,510219,1.369264,103.961693,12,pasir ris drive,pasir ris,east region
woodlands,703,woodlands drive 40,730703,1.440957,103.796577,12,woodlands east,woodlands,north region
jurong west,263,boon lay drive,640263,1.344942,103.707024,15,boon lay place,jurong west,west region
tampines,604B,tampines avenue 9,522604,1.361407,103.935627,16,tampines north,tampines,east region
toa payoh,7,upper aljunied lane,360007,1.334715,103.878708,18,joo seng,toa payoh,central region
choa chu kang,282,choa chu kang avenue 3,680282,1.380254,103.743214,13,keat hong,choa chu kang,west region
bukit panjang,533,bukit panjang ring road,670533,1.384956,103.763765,24,saujana,bukit panjang,west region
bedok,70,bedok south road,460070,1.319969,103.942819,16,bedok south,bedok,east region
jurong west,679C,jurong west central 1,643679,1.343923,103.706396,15,jurong west central,jurong west,west region
sembawang,360B,admiralty drive,752360,1.448738,103.815232,16,sembawang central,sembawang,north region
tampines,938,tampines avenue 5,520938,1.347904,103.941725,9,tampines west,tampines,east region
queenstown,55,strathmore avenue,140055,1.293383,103.809331,20,margaret drive,queenstown,central region
serangoon,261,serangoon central drive,550261,1.354053,103.872524,4,serangoon central,serangoon,north-east region
bukit panjang,530,jelapang road,670530,1.384715,103.765271,23,saujana,bukit panjang,west region
tampines,128,simei street 1,520128,1.346901,103.954856,4,simei,tampines,east region
tampines,381,tampines street 32,520381,1.354019,103.958966,12,tampines east,tampines,east region
punggol,406B,northshore drive,822406,1.416412,103.901127,24,northshore,punggol,north-east region
bukit merah,8,kim tian place,163008,1.28303,103.827237,25,tiong bahru station,bukit merah,central region
punggol,672A,edgefield plains,821672,1.406414,103.91262,16,waterway east,punggol,north-east region
tampines,347,tampines street 33,520347,1.35188,103.963114,10,tampines east,tampines,east region
jurong west,365,corporation drive,610365,1.337726,103.720185,10,taman jurong,jurong west,west region
woodlands,415,woodlands street 41,730415,1.427906,103.774008,13,woodgrove,woodlands,north region
pasir ris,158,pasir ris street 13,510158,1.364675,103.962236,9,pasir ris drive,pasir ris,east region
clementi,606,clementi west street 1,120606,1.304854,103.76799,22,clementi woods,clementi,west region
tampines,230E,tampines street 24,528230,1.356092,103.951045,12,tampines east,tampines,east region
kallang/whampoa,60,geylang bahru,330060,1.322821,103.869178,21,geylang bahru,kallang,central region
tampines,915,tampines street 91,520915,1.348606,103.939564,13,tampines west,tampines,east region
clementi,312A,clementi avenue 4,121312,1.319089,103.764441,40,clementi north,clementi,west region
jurong west,918,jurong west street 91,640918,1.340579,103.687171,4,yunnan,jurong west,west region
tampines,159,simei road,520159,1.344802,103.959862,4,simei,tampines,east region
kallang/whampoa,83,whampoa drive,320083,1.323575,103.857035,20,balestier,novena,central region
hougang,698D,hougang street 52,538698,1.375637,103.888739,18,hougang west,hougang,north-east region
hougang,471A,upper serangoon crescent,531471,1.378145,103.901767,18,hougang east,hougang,north-east region
sengkang,292B,compassvale street,542292,1.395399,103.898745,15,sengkang town centre,sengkang,north-east region
toa payoh,52,lorong 6 toa payoh,310052,1.338249,103.852482,12,boon teck,toa payoh,central region
sengkang,308A,anchorvale road,541308,1.389895,103.88592,17,anchorvale,sengkang,north-east region
bukit merah,6,jalan bukit ho swee,161006,1.287639,103.831443,9,bukit ho swee,bukit merah,central region
bedok,720,bedok reservoir road,470720,1.335973,103.924883,11,bedok reservoir,bedok,east region
yishun,780,yishun ring road,760780,1.422139,103.832883,4,khatib,yishun,north region
jurong west,353,kang ching road,610353,1.339636,103.720528,11,taman jurong,jurong west,west region
ang mo kio,649,ang mo kio avenue 5,560649,1.377763,103.843782,13,yio chu kang west,ang mo kio,north-east region
punggol,259C,punggol field,823259,1.404534,103.895666,17,matilda,punggol,north-east region
central area,1C,cantonment road,085301,1.277449,103.841667,50,chinatown,outram,central region
bukit merah,45,telok blangah drive,100045,1.271757,103.80956,16,telok blangah drive,bukit merah,central region
choa chu kang,526,choa chu kang street 51,680526,1.391354,103.741893,9,choa chu kang north,choa chu kang,west region
woodlands,684D,woodlands drive 73,734684,1.441358,103.804508,14,woodlands east,woodlands,north region
serangoon,335,serangoon avenue 3,550335,1.349442,103.871068,12,serangoon central,serangoon,north-east region
ang mo kio,417,ang mo kio avenue 10,560417,1.36496,103.855197,14,chong boon,ang mo kio,north-east region
punggol,174A,edgedale plains,821174,1.396378,103.911281,17,punggol field,punggol,north-east region
tampines,295,tampines street 22,520295,1.35078,103.955,12,tampines east,tampines,east region
serangoon,237,serangoon avenue 3,550237,1.353812,103.870135,11,serangoon central,serangoon,north-east region
toa payoh,178,toa payoh central,310178,1.33358,103.849265,4,toa payoh central,toa payoh,central region
ang mo kio,419,ang mo kio avenue 10,560419,1.365347,103.854152,12,chong boon,ang mo kio,north-east region
pasir ris,637,pasir ris drive 1,510637,1.376783,103.940314,13,pasir ris west,pasir ris,east region
sengkang,225A,compassvale walk,541225,1.38765,103.898706,14,sengkang town centre,sengkang,north-east region
hougang,247,hougang avenue 3,530247,1.359166,103.891524,13,lorong ah soo,hougang,north-east region
queenstown,82,commonwealth close,140082,1.304221,103.8004,16,commonwealth,queenstown,central region
queenstown,182,stirling road,140182,1.295383,103.804962,13,mei chin,queenstown,central region
yishun,762,yishun street 72,760762,1.425687,103.834008,12,yishun west,yishun,north region
yishun,705,yishun avenue 5,760705,1.429095,103.829512,4,yishun west,yishun,north region
tampines,256,tampines street 21,522256,1.353236,103.949947,10,tampines east,tampines,east region
bedok,550,bedok north avenue 1,460550,1.332693,103.926617,12,bedok north,bedok,east region
jurong east,31,teban gardens road,600031,1.320308,103.738968,12,teban gardens,jurong east,west region
toa payoh,84B,lorong 2 toa payoh,312084,1.335765,103.846803,25,toa payoh central,toa payoh,central region
clementi,317,clementi avenue 4,120317,1.318038,103.764519,12,clementi north,clementi,west region
yishun,402,yishun ring road,760402,1.42655,103.847265,12,yishun east,yishun,north region
bukit batok,289B,bukit batok street 25,651289,1.343867,103.760535,16,bukit batok south,bukit batok,west region
clementi,711,clementi west street 2,120711,1.304844,103.761107,12,clementi west,clementi,west region
hougang,621,hougang avenue 8,530621,1.369918,103.883193,4,hougang west,hougang,north-east region
yishun,723,yishun street 71,760723,1.42602,103.829939,13,yishun west,yishun,north region
kallang/whampoa,114,lorong 3 geylang,381114,1.311499,103.874032,10,kampong bugis,kallang,central region
ang mo kio,434,ang mo kio avenue 10,560434,1.367892,103.853455,12,chong boon,ang mo kio,north-east region
ang mo kio,614,ang mo kio avenue 4,560614,1.377969,103.839217,13,yio chu kang west,ang mo kio,north-east region
clementi,462,clementi avenue 3,120462,1.311099,103.765906,25,clementi central,clementi,west region
bukit panjang,627,senja road,670627,1.385535,103.759378,30,senja,bukit panjang,west region
woodlands,872,woodlands street 81,730872,1.444087,103.789812,12,midview,woodlands,north region
bedok,210,new upper changi road,460210,1.324597,103.931871,4,bedok north,bedok,east region
bedok,111,bedok reservoir road,470111,1.329808,103.910094,4,kaki bukit,bedok,east region
jurong west,549,jurong west street 42,640549,1.352914,103.716073,11,hong kah,jurong west,west region
jurong west,440,jurong west avenue 1,640440,1.351311,103.722836,8,hong kah,jurong west,west region
serangoon,326,serangoon avenue 3,550326,1.350352,103.868997,4,serangoon central,serangoon,north-east region
sengkang,163A,rivervale crescent,541163,1.389559,103.908817,18,rivervale,sengkang,north-east region
bedok,713,bedok reservoir road,470713,1.336312,103.922392,9,bedok reservoir,bedok,east region
kallang/whampoa,682,race course road,210682,1.314278,103.855646,12,lavender,kallang,central region
sembawang,327,sembawang crescent,750327,1.445664,103.819022,15,sembawang central,sembawang,north region
ang mo kio,458,ang mo kio avenue 10,560458,1.366568,103.859627,25,chong boon,ang mo kio,north-east region
ang mo kio,306,ang mo kio avenue 1,560306,1.365726,103.845751,16,townsville,ang mo kio,north-east region
sengkang,126,rivervale street,540126,1.38906,103.902401,17,rivervale,sengkang,north-east region
ang mo kio,313,ang mo kio avenue 3,560313,1.36665,103.850134,12,townsville,ang mo kio,north-east region
jurong west,637,jurong west street 61,640637,1.341567,103.69797,16,jurong west central,jurong west,west region
toa payoh,50,lorong 5 toa payoh,310050,1.33699,103.852693,13,boon teck,toa payoh,central region
bukit timah,11,toh yi drive,590011,1.338003,103.772603,11,anak bukit,bukit timah,central region
woodlands,894B,woodlands drive 50,731894,1.436009,103.789507,11,midview,woodlands,north region
punggol,104A,edgefield plains,821104,1.396806,103.905054,17,punggol field,punggol,north-east region
sengkang,206B,compassvale lane,542206,1.387438,103.896932,16,sengkang town centre,sengkang,north-east region
choa chu kang,501,choa chu kang street 51,680501,1.389595,103.743248,14,choa chu kang north,choa chu kang,west region
ang mo kio,459,ang mo kio avenue 10,560459,1.36702,103.859377,25,chong boon,ang mo kio,north-east region
pasir ris,543,pasir ris street 51,510543,1.369054,103.951497,13,pasir ris central,pasir ris,east region
jurong west,836,jurong west street 81,640836,1.342631,103.693465,15,yunnan,jurong west,west region
bishan,244,bishan street 22,570244,1.36041,103.844372,4,marymount,bishan,central region
choa chu kang,7,teck whye avenue,680007,1.381474,103.754522,25,teck whye,choa chu kang,west region
choa chu kang,419,choa chu kang avenue 4,680419,1.381926,103.74156,14,peng siang,choa chu kang,west region
bukit timah,5,farrer road,260005,1.31656,103.807288,20,tyersall,tanglin,central region
hougang,355,hougang avenue 7,530355,1.371876,103.898239,4,kangkar,hougang,north-east region
punggol,265C,punggol way,823265,1.404997,103.898519,17,matilda,punggol,north-east region
tampines,268,tampines street 21,520268,1.35139,103.947898,11,tampines east,tampines,east region
jurong west,554,jurong west street 42,640554,1.353235,103.717866,12,hong kah,jurong west,west region
clementi,608,clementi west street 1,120608,1.304341,103.76653,12,clementi woods,clementi,west region
tampines,467,tampines street 44,520467,1.359969,103.954666,12,tampines east,tampines,east region
yishun,272,yishun street 22,760272,1.438098,103.839642,12,northland,yishun,north region
kallang/whampoa,38,jalan bahagia,320038,1.326906,103.856487,2,balestier,novena,central region
sembawang,337,sembawang crescent,750337,1.446151,103.815652,16,sembawang central,sembawang,north region
sembawang,121D,canberra street,754121,1.447038,103.833923,15,sembawang east,sembawang,north region
tampines,875,tampines street 84,520875,1.352685,103.932007,12,tampines west,tampines,east region
ang mo kio,538,ang mo kio avenue 5,560538,1.375593,103.853348,10,cheng san,ang mo kio,north-east region
yishun,156,yishun street 11,760156,1.431888,103.833568,4,yishun west,yishun,north region
geylang,21,haig road,430021,1.313159,103.895216,4,geylang east,geylang,central region
punggol,102B,punggol field,822102,1.399085,103.905471,17,punggol field,punggol,north-east region
bishan,256,bishan street 22,570256,1.361318,103.842684,14,marymount,bishan,central region
sengkang,440B,fernvale link,792440,1.393291,103.878139,25,fernvale,sengkang,north-east region
jurong west,861,jurong west street 81,640861,1.349552,103.696708,15,yunnan,jurong west,west region
bukit panjang,207,petir road,670207,1.373707,103.774851,12,bangkit,bukit panjang,west region
sembawang,326,sembawang crescent,750326,1.444917,103.819119,15,sembawang central,sembawang,north region
hougang,157,hougang street 11,530157,1.353015,103.879703,4,lorong ah soo,hougang,north-east region
ang mo kio,337,ang mo kio avenue 1,560337,1.363196,103.851616,13,townsville,ang mo kio,north-east region
kallang/whampoa,49,jalan bahagia,320049,1.32766,103.856373,2,balestier,novena,central region
marine parade,18,marine terrace,440018,1.303209,103.914301,16,marine parade,marine parade,central region
bedok,22,bedok south avenue 1,460022,1.322832,103.932852,14,bedok south,bedok,east region
tampines,717,tampines street 72,520717,1.358812,103.935213,14,tampines west,tampines,east region
woodlands,505,woodlands drive 14,730505,1.432195,103.791156,11,woodlands south,woodlands,north region
bedok,517,bedok north avenue 2,460517,1.331089,103.929205,12,bedok north,bedok,east region
ang mo kio,180,ang mo kio avenue 5,560180,1.376677,103.838361,9,kebun bahru,ang mo kio,north-east region
sembawang,129B,canberra street,752129,1.44487,103.832974,13,sembawang east,sembawang,north region
geylang,2C,geylang serai,405002,1.317501,103.898207,19,geylang east,geylang,central region
toa payoh,98,lorong 1 toa payoh,310098,1.339176,103.84838,16,braddell,toa payoh,central region
sengkang,279C,sengkang east avenue,543279,1.385729,103.892595,15,compassvale,sengkang,north-east region
hougang,919,hougang avenue 4,530919,1.375999,103.884121,17,trafalgar,hougang,north-east region
toa payoh,71,lorong 4 toa payoh,310071,1.334174,103.852205,4,boon teck,toa payoh,central region
hougang,112,hougang avenue 1,530112,1.354422,103.888558,11,lorong ah soo,hougang,north-east region
jurong west,218B,boon lay avenue,642218,1.350327,103.710889,15,boon lay place,jurong west,west region
serangoon,521,serangoon north avenue 4,550521,1.373356,103.873243,12,serangoon north,serangoon,north-east region
choa chu kang,459,choa chu kang avenue 4,680459,1.378184,103.735127,12,peng siang,choa chu kang,west region
bukit batok,298,bukit batok street 22,650298,1.344797,103.747141,25,bukit batok south,bukit batok,west region
bukit panjang,238,bukit panjang ring road,670238,1.379795,103.770664,12,bangkit,bukit panjang,west region
choa chu kang,133,teck whye lane,680133,1.380744,103.751221,15,teck whye,choa chu kang,west region
jurong west,813,jurong west street 81,640813,1.345984,103.695829,12,yunnan,jurong west,west region
hougang,571,hougang street 51,530571,1.378433,103.888023,16,trafalgar,hougang,north-east region
woodlands,893A,woodlands drive 50,730893,1.436844,103.790613,11,midview,woodlands,north region
woodlands,617,woodlands avenue 4,730617,1.433897,103.795731,12,woodlands east,woodlands,north region
sengkang,121D,sengkang east way,544121,1.385795,103.905414,17,rivervale,sengkang,north-east region
sengkang,411B,fernvale road,792411,1.390163,103.877056,25,fernvale,sengkang,north-east region
hougang,944,hougang street 92,530944,1.374288,103.880435,14,trafalgar,hougang,north-east region
choa chu kang,344,choa chu kang loop,680344,1.383283,103.74511,14,choa chu kang central,choa chu kang,west region
kallang/whampoa,101,ah hood road,320101,1.327397,103.844481,25,balestier,novena,central region
tampines,873,tampines street 84,520873,1.353945,103.932199,12,tampines west,tampines,east region
yishun,152,yishun street 11,760152,1.43104,103.834755,4,yishun west,yishun,north region
yishun,151,yishun street 11,760151,1.430806,103.834268,12,yishun west,yishun,north region
punggol,234A,sumang lane,821234,1.401664,103.891897,17,matilda,punggol,north-east region
jurong west,523,jurong west street 52,640523,1.346755,103.716158,25,hong kah,jurong west,west region
clementi,446,clementi avenue 3,120446,1.312513,103.764928,4,clementi central,clementi,west region
queenstown,30,margaret drive,141030,1.298726,103.803962,47,margaret drive,queenstown,central region
pasir ris,108,pasir ris street 12,510108,1.367479,103.957018,13,pasir ris drive,pasir ris,east region
jurong west,692,jurong west central 1,640692,1.342272,103.706612,12,jurong west central,jurong west,west region
sembawang,359,admiralty drive,750359,1.449708,103.815865,16,sembawang central,sembawang,north region
punggol,624C,punggol central,823624,1.400491,103.911983,18,waterway east,punggol,north-east region
woodlands,523,woodlands drive 14,730523,1.433235,103.793988,12,woodlands south,woodlands,north region
jurong east,327,jurong east street 31,600327,1.349123,103.728986,15,yuhua west,jurong east,west region
bukit batok,172,bukit batok west avenue 8,650172,1.345669,103.74048,25,bukit batok west,bukit batok,west region
tampines,136,simei street 1,520136,1.347936,103.95634,11,simei,tampines,east region
hougang,356,hougang avenue 7,530356,1.372593,103.898813,4,kangkar,hougang,north-east region
woodlands,507,woodlands drive 14,730507,1.431769,103.790935,11,woodlands south,woodlands,north region
kallang/whampoa,103,ah hood road,320103,1.327963,103.844827,25,balestier,novena,central region
choa chu kang,11,teck whye lane,680011,1.379762,103.754969,13,teck whye,choa chu kang,west region
serangoon,334,serangoon avenue 3,550334,1.350241,103.870832,12,serangoon central,serangoon,north-east region
pasir ris,227,pasir ris street 21,510227,1.371669,103.961764,13,pasir ris drive,pasir ris,east region
bukit batok,533,bukit batok street 51,650533,1.355879,103.749799,12,guilin,bukit batok,west region
pasir ris,530D,pasir ris drive 1,514530,1.371875,103.950581,14,pasir ris central,pasir ris,east region
bishan,234,bishan street 22,570234,1.358371,103.846091,13,marymount,bishan,central region
bukit merah,93B,telok blangah street 31,102093,1.275357,103.807977,30,telok blangah drive,bukit merah,central region
bukit batok,354,bukit batok street 31,650354,1.361387,103.749729,15,hong kah north,bukit batok,west region
jurong west,634,jurong west street 65,640634,1.343094,103.698866,16,jurong west central,jurong west,west region
bukit batok,143,bukit batok street 11,650143,1.350376,103.743909,4,bukit batok west,bukit batok,west region
pasir ris,446,pasir ris drive 6,510446,1.370306,103.957727,11,pasir ris drive,pasir ris,east region
sengkang,272D,sengkang central,544272,1.383931,103.893564,15,compassvale,sengkang,north-east region
jurong east,252,jurong east street 24,600252,1.343026,103.738145,4,yuhua east,jurong east,west region
sengkang,334B,anchorvale crescent,542334,1.398462,103.889969,16,anchorvale,sengkang,north-east region
sembawang,351A,canberra road,751351,1.450388,103.820209,14,sembawang central,sembawang,north region
sengkang,186B,rivervale drive,542186,1.3928,103.90561,17,rivervale,sengkang,north-east region
queenstown,89,dawson road,142089,1.295463,103.811785,43,margaret drive,queenstown,central region
choa chu kang,634,choa chu kang north 6,680634,1.396609,103.749729,14,yew tee,choa chu kang,west region
tampines,404,tampines street 41,520404,1.357762,103.944363,4,tampines east,tampines,east region
choa chu kang,809B,choa chu kang avenue 1,682809,1.374762,103.744965,15,keat hong,choa chu kang,west region
jurong west,713,jurong west street 71,640713,1.343657,103.696064,12,yunnan,jurong west,west region
bukit merah,33,lim liak street,160033,1.285119,103.831577,4,tiong bahru,bukit merah,central region
hougang,121,hougang avenue 1,530121,1.353861,103.886937,4,lorong ah soo,hougang,north-east region
tampines,721,tampines street 71,520721,1.35992,103.936352,15,tampines west,tampines,east region
tampines,606A,tampines street 61,521606,1.362377,103.936587,15,tampines north,tampines,east region
